version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,none,v0+pe3ad22f00984+t5e43794a1146,e3ad22f00984ae4f6b49710ada20198e9b4688402b4f1900888f0c54f0a1732e,5e43794a1146b22720869c2fc127e9b80c8ff50e6f5af9132fcbf45a97dd2386,Baseline evaluation run,Anti-pattern baseline prompt,tool_routing_accuracy,0.0,0.7,runs/v0_B_base_nvidia_20260729T141554099204.json
v1,team,artifacts/system_prompt.md,v1+p172954ed87f1+t5e43794a1146,172954ed87f127e49785c91cc1ce1364c87547c7506a1c240da3babe21ebb691,5e43794a1146b22720869c2fc127e9b80c8ff50e6f5af9132fcbf45a97dd2386,Remove anti-patterns and add clarify/confirmation boundaries,Hypothesis v1: Remove anti-pattern prompt instructions,tool_routing_accuracy,0.7,0.9,runs/v1_B_base_nvidia_20260729T155950208469.json
v2,team,artifacts/tools.yaml,v2+p172954ed87f1+t81defcf19c2a,172954ed87f127e49785c91cc1ce1364c87547c7506a1c240da3babe21ebb691,81defcf19c2a1700a7f247bff8ab40180071d9454ef4fe3605b784fc55d15e51,"Improve tool declarations, handle formatting, news vs social search disambiguation",Hypothesis v2: Improve tools declaration schema and parameter instructions,case_accuracy,0.55,0.75,runs/v2_B_base_nvidia_20260729T160752723899.json
